ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,1,"4,716",0,"4,716",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,2,"4,918",0,"4,918",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,3,"17,492",0,"17,492",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,4,"26,788",0,"26,788",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,5,"27,530",0,"27,530",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,6,"40,216",0,"40,216",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,7,"44,086",0,"44,086",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,8,"37,215",0,"37,215",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,9,"31,035",0,"31,035",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,10,"20,685",0,"20,685",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2017,"269,580",0,"269,580",0,0,0,0,0,0,0,0
